"where_name","who_name","who_type","who_x","who_y","who_message"
"上古战场","上古仙神","NPC",,,"孩子，修仙吧，能成为强大的仙神。"
"上古战场","上古残魂","NPC",,,"这里是上古仙神和魔神的战场，我灵魂的碎片中还记得那场惨烈的战争。"
"上古战场","上古神王","NPC",,,"孩子，修仙修魔都一样，最终还是成为像我一样的神王！"
"上古战场","上古魔神","NPC",,,"孩子，修魔吧，能成为强大的魔神。"
"上古战场","神魔绝地接引","NPC","255","242","当服务器上限达到89级的时候，神魔绝地将开启。"
"仙之谷","披着仙皮的魔","NPC","112","91","我为什么叫这个名字？对不起，我是卧底，我绝对不会告诉你我的身份的！"
"仙之谷","边境接引人","NPC","235","240","仙魔边境很危险，我这可以直接到天之涯，安全第一啊。"
"仙之谷","试炼小仙","怪",,,
"仙界","仙界长老","NPC","296","151","不知道修魔这种修炼方式感觉如何，向往啊。"
"仙界","副本使者","NPC","73","178","我身上有10个副本，你爱去哪个去哪个。"
"仙界","土地公","NPC","451","240","好吧，他们都跑去修炼了，偏偏叫我做个小小的城管，郁闷。"
"仙界","接引仙童","NPC","77","86","想去北天庭和门派找我就对了。"
"仙界","竞技使者","NPC","274","521","听说斗法大会和仙魔大战的等级分段会根据服务器的进度而变化啊。"
"仙界","装备商","NPC","58","403","我已经在这里站了好久了，为什么就没人在我这买装备呢？我要改革！"
"仙界","道具商","NPC","229","428","做生意要有头脑，你看我旁边那个傻装备商，那么菜的装备，谁会买啊。"
"仙界","镖师","NPC","221","88","老总为什么要在这地方开分店，这里的人都这么强。"
"仙魔边境","混沌老魔","NPC",,,"我是谁？我手上这神源能干什么？"
"仙魔边境","边境接引人","NPC","393","206","修仙修魔只是成神的两种修炼方式而已，这帮子人打个啥，看把这里给祸害的。"
"魔之谷","披着磨皮的仙","NPC","320","150","我为什么叫这个名字？对不起，我是卧底，我绝对不会告诉你我的身份的！"
"魔之谷","披着魔皮的仙","NPC","320","150","我为什么叫这个名字？对不起，我是卧底，我绝对不会告诉你我的身份的！"
"魔之谷","边境接引人","NPC","158","194","仙魔边境很危险，我这可以直接到天之涯，安全第一啊。"
