"name","type","min_level","max_level","x","y"
"清水村","城镇","1","5","0","0"
"清水村野外","野外","5","8","1","0"
"三清山下","野外","8","10","1","1"
"隐龙镇","城镇","10","10","1","2"
"隐龙东郊","野外","10","12","2","2"
"隐龙密林","野外","12","14","2","3"
"隐龙坡","野外","14","16","-1","2"
"隐龙谷","野外","16","14","0","2"
"隐龙码头","野外","18","20","1","3"
"蓬莱岛西","城镇","20","20","1","4"
"蓬莱岛东","城镇","20","20","2","4"
"蓬莱北郊","野外","20","22","1","5"
"蓬莱阁","野外","22","24","3","4"
"流波山","野外","24","26","0","4"
"碧游洞一层","野外","26","28","0","5"
"碧游洞二层","野外","28","30","0","6"
"望月城西","城镇","30","30","4","4"
"望月城东","城镇","30","30","5","4"
"望月城郊","野外","30","32","4","5"
"万剑石林","野外","32","34","4","6"
"龙首崖","野外","34","36","5","6"
"揽湖古道","野外","34","36","6","4"
"月邪洞一层","野外","36","38","5","5"
"月邪洞二层","野外","38","40","6","5"
"黑河镇南","城镇","40","40","6","2"
"黑河镇北","城镇","40","40","6","3"
"黑河南郊","野外","40","42","6","1"
"乱坟岗","野外","42","44","7","1"
"冰封古道","野外","44","46","7","0"
"孽石洞一层","野外","44","46","7","2"
"孽石洞二层","野外","46","48","8","2"
"孽缘潭","野外","48","50","8","1"
"万劫城南","城镇","50","50","7","-2"
"万劫城北","城镇","50","50","7","-1"
"不冻河","野外","50","52","6","-1"
"刺骨之地","野外","52","54","6","-2"
"地心迷宫一层","野外","54","55","6","-3"
"地心迷宫二层","野外","55","56","7","-3"
"地心迷宫底层","野外","56","57","8","-3"
"雪崩峡谷","野外","57","58","8","-1"
"青屏原","野外","58","60","8","-2"
"剑冢峰西","城镇","60","60","9","-2"
"剑冢峰东","城镇","60","60","10","-2"
"镇魔宫","野外","60","61","10","-1"
"摩天崖","野外","61","62","9","-1"
"问剑台","野外","62","64","10","0"
"练剑池","野外","64","66","10","1"
"幽冥谷","野外","66","68","9","0"
"兰若寺","野外","68","70","9","1"
"阎罗殿主殿","城镇","70","70","9","3"
"阎罗殿偏","城镇","70","70","10","3"
"鬼门关","野外","70","71","9","2"
"黄泉路","野外","71","72","10","2"
"忘忧河","野外","72","73","9","4"
"奈何桥","野外","73","74","10","4"
"望乡台","野外","74","76","10","5"
"轮回谷","野外","76","78","9","5"
"炼狱血池","野外","78","79","9","6"
"宗派","宗派",,,,
"雷音寺","门派",,,,
"玄霄殿","门派",,,,
"广寒宫","门派",,,,
"盘丝洞","门派",,,,
"北天庭",,,,,
"天上人间",,,,,
"牢房",,,,,
"天之涯",,,,,
"仙魔边境",,,,,
"仙之谷",,,,,
"魔之谷",,,,,
"上古战场",,,,,
"神魔绝地",,,,,
